 REDE DE GEODESIA (ZONA SUL)  
  39.4000000     -8.0754862
 Datum_73       
  27    1     120    2    2
1	11742.4088	-283760.6273
2	12391.3028	-287702.7196
3	11711.0895	-291768.3288
4	8022.731	-289247.8158
5	6529.0832	-289854.201
6	15324.5631	-292748.704
7	-2867.2419	-282401.4571
8	20696.1698	-289504.9513
9	22394.7061	-291854.7594
10	21874.5649	-283693.064
11	17796.2051	-284937.4696
12	19688.5251	-278362.3488
13	13422.3988	-280906.3906
14	1946.1417	-278644.0706
15	6410.8543	-278553.9927
16	9571.9629	-278594.1022
17	-5978.3037	-281302.5494
18	-8564.7792	-283226.2695
19	-8373.5434	-278925.1145
20	-12208.5372	-286012.2539
21	-10128.0178	-276349.7434
22	2602.6986	-285739.0406
23	-4469.5886	-285149.5914
24	-2549.9899	-286734.9484
26	-473.3457	-278906.9624
27	-3270.847	-277325.9552
28	14053.957	-278736.983
25	6404.2809	-283568.7433
