 REDE DE GEODESIA (ZONA SUL)  
  39.4000000     -8.0754862
 Datum_73       
  27    1     120    2    2
   1      11742.4063   -283760.6279
   2      12391.2996   -287702.7189
   3      11711.0857   -291768.3272
   4       8022.7290   -289247.8139
   5       6529.0827   -289854.1980
   6      15324.5584   -292748.7031
   7      -2867.2330   -282401.4578
   8      20696.1647   -289504.9512
   9      22394.7010   -291854.7595
  10      21874.5595   -283693.0648
  11      17796.2007   -284937.4700
  12      19688.5202   -278362.3515
  13      13422.3956   -280906.3925
  14       1946.1595   -278644.0744
  15       6410.8543   -278553.9965
  16       9571.9615   -278594.1056
  17      -5978.2896   -281302.5522
  18      -8564.7601   -283226.2683
  19      -8373.5245   -278925.1225
  20     -12208.5116   -286012.2477
  21     -10127.9962   -276349.7557
  22       2602.7009   -285739.0381
  23      -4469.5773   -285149.5877
  24      -2549.9812   -286734.9432
  26       -473.3413   -278906.9683
  27      -3270.8376   -277325.9650
  28      14053.9535   -278736.9859
  25       6404.2809   -283568.7433
